Model,Najniža cijena (€),Prodavnica,Link
HP EliteBook 860 G11 Ultra 5 125U/512 GB SSD/16 GB DDR5 5600 MT/s/16,1103.0,PC-Gamer,https://pc-gamer.me/p/HP-EliteBook-860-G11-Ultra-5-125U-512-GB-SSD-16-GB-DDR5-5600-MT-s-16--113046
HP Pav Plus 14-ew0014nn i5-1335U/512GB/16GB/14,1115.9,PC-Gamer,https://pc-gamer.me/p/HP-Pav-Plus-14-ew0014nn-i5-1335U-512GB-16GB-14--111948
MSI MSI NB Cyborg 15 A13VE-1805XHR i5-13420H / 16GB /,1128.7,PC-Gamer,https://pc-gamer.me/p/MSI-MSI-NB-Cyborg-15-A13VE-1805XHR-i5-13420H-16GB---110098
HP Victus Gaming 15-fa1032nm i5-12450H/512GB/16GB/15.6 FHD/RTX 4040/NoOS/Backlit,1141.5,PC-Gamer,https://pc-gamer.me/p/HP-Victus-Gaming-15-fa1032nm-i5-12450H-512GB-16GB-15-6-FHD-RTX-4040-NoOS-Backlit--111949
GIGABYTE G6 MF 16 inch FHD+ 165Hz i7-13620H 16GB 1TB SSD Ge,1141.5,PC-Gamer,https://pc-gamer.me/p/GIGABYTE-G6-MF-16-inch-FHD-165Hz-i7-13620H-16GB-1TB-SSD-Ge--108814
"HP Victus 16-r1020nm, A74T0EA",1145.0,PC-Gamer,https://pc-gamer.me/p/HP-Victus-16-r1020nm-A74T0EA--107365
Lenovo Yoga PRO 7 14IMH9 83E2004EYA,1153.1,PC-Gamer,https://pc-gamer.me/p/Lenovo-Yoga-PRO-7-14IMH9-83E2004EYA--107806
NOT HP Victus 15-fb2015nm,1153.1,PC-Gamer,https://pc-gamer.me/p/NOT-HP-Victus-15-fb2015nm--104789
GIGABYTE AERO 14 OLED BMF,1189.7,PC-Gamer,https://pc-gamer.me/p/GIGABYTE-AERO-14-OLED-BMF--107010
GIGABYTE G5 MF5 15.6 FHD 144Hz i7-13620H 16GB 1TB SSD,1199.0,PC-Gamer,https://pc-gamer.me/p/GIGABYTE-G5-MF5-15-6-FHD-144Hz-i7-13620H-16GB-1TB-SSD--100454
"Lenovo LOQ 15ARP9, 83JC003AYA",1199.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-LOQ-15ARP9-83JC003AYA--104432
DELL Latitude 5450 14 inch FHD Core Ultra 5 125U 8GB 51,1205.6,PC-Gamer,https://pc-gamer.me/p/DELL-Latitude-5450-14-inch-FHD-Core-Ultra-5-125U-8GB-51--110047
HP Pavilion Aero 13-bg0035nn,1217.2,PC-Gamer,https://pc-gamer.me/p/HP-Pavilion-Aero-13-bg0035nn--109977
GIGABYTE G7 MF 17.3 inch FHD 144Hz i5-12500H 16GB 512GB SSD,1224.0,PC-Gamer,https://pc-gamer.me/p/GIGABYTE-G7-MF-17-3-inch-FHD-144Hz-i5-12500H-16GB-512GB-SSD--91977
HP Victus Gaming Laptop 15-fb2029nm A71S0EA,1226.0,PC-Gamer,https://pc-gamer.me/p/HP-Victus-Gaming-Laptop-15-fb2029nm-A71S0EA--110877
Tesla Book9,1228.7,PC-Gamer,https://pc-gamer.me/p/Tesla-Book9---82641
Asus TUF Gaming F15 FA507NUR-LP003,1249.0,PC-Gamer,https://pc-gamer.me/p/Asus-TUF-Gaming-F15-FA507NUR-LP003--108003
HP EliteBook 840 G11 Ultra 7 155U/16GB DDR5/1TB SSD/14,1269.8,PC-Gamer,https://pc-gamer.me/p/HP-EliteBook-840-G11-Ultra-7-155U-16GB-DDR5-1TB-SSD-14--112690
"UX3405CA-QL279, 14",1269.8,PC-Gamer,https://pc-gamer.me/p/UX3405CA-QL279-14--109772
"GIGABYTE G5 KD 15.6"" FHD 144Hz i5-11400H 16GB 512GB SSD GeForce RTX 3060P 6GB",1299.0,PC-Gamer,https://pc-gamer.me/p/GIGABYTE-G5-KD-15-6-FHD-144Hz-i5-11400H-16GB-512GB-SSD-GeForce-RTX-3060P-6GB--77259
Lenovo Think 21L50019YA,1301.8,PC-Gamer,https://pc-gamer.me/p/Lenovo-Think-21L50019YA--111757
HP Pavilion Aero,1340.3,PC-Gamer,https://pc-gamer.me/p/HP-Pavilion-Aero--109978
HP EliteBook 830 G11 Win11 PRO/Ultra7 155U/16GB DDR5/512GB SSD/13.3,1349.0,PC-Gamer,https://pc-gamer.me/p/HP-EliteBook-830-G11-Win11-PRO-Ultra7-155U-16GB-DDR5-512GB-SSD-13-3--101540
HP Spectre x360 14-ef0018nn,129900152900.0,PC-Gamer,https://pc-gamer.me/p/HP-Spectre-x360-14-ef0018nn--79161
Lenovo Think ThinkPad L14 Gen5 21L1002KYA,1378.8,PC-Gamer,https://pc-gamer.me/p/Lenovo-Think-ThinkPad-L14-Gen5-21L1002KYA--107824
ACER Nitro 5 AN515 15.6 I7-12700H,1398.6,PC-Gamer,https://pc-gamer.me/p/ACER-Nitro-5-AN515-15-6-I7-12700H--87594
Lenovo Legion 5 16IRX9,1409.6,PC-Gamer,https://pc-gamer.me/p/Lenovo-Legion-5-16IRX9--98396
"ACER Nitro 5 AN515 15.6"" FHD IPS 165Hz Ryzen 7 6800H 1",1410.9,PC-Gamer,https://pc-gamer.me/p/ACER-Nitro-5-AN515-15-6-FHD-IPS-165Hz-Ryzen-7-6800H-1--105969
HP EliteBook 860 G11 Ultra 7 155U/1TB SSD/32GB DDR5/16inch WUXGA/Intel Graphics/Bcklt/NoOS,1423.7,PC-Gamer,https://pc-gamer.me/p/HP-EliteBook-860-G11-Ultra-7-155U-1TB-SSD-32GB-DDR5-16inch-WUXGA-Intel-Graphics-Bcklt-NoOS--113256
HP ENVY x360 15-es1026nn,1430.0,PC-Gamer,https://pc-gamer.me/p/HP-ENVY-x360-15-es1026nn--72835
Apple MacBook Air 13.6inča,1436.5,PC-Gamer,https://pc-gamer.me/p/Apple-MacBook-Air-13-6in-a--110648
Lenovo ThinkPad L14 Gen 5 (AMD) 21L5001AYA,1439.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkPad-L14-Gen-5-AMD-21L5001AYA--111756
ASUS Zenbook 14 UM3406KA-QD149W,1460.9,PC-Gamer,https://pc-gamer.me/p/ASUS-Zenbook-14-UM3406KA-QD149W--109774
HP EliteBook 830,1462.2,PC-Gamer,https://pc-gamer.me/p/HP-EliteBook-830--107075
Dell G15 5530 i7-13650HX/16GB/512GB/15.6,1473.7,PC-Gamer,https://pc-gamer.me/p/Dell-G15-5530-i7-13650HX-16GB-512GB-15-6--110245
HP Victus 16-r0075nia i5/16GB/512GB/RTX4060,1478.9,PC-Gamer,https://pc-gamer.me/p/HP-Victus-16-r0075nia-i5-16GB-512GB-RTX4060--92899
Lenovo Legion 5 i5-13450HX/16GB DDR5/1TB/RTX4060/16,1499.4,PC-Gamer,https://pc-gamer.me/p/Lenovo-Legion-5-i5-13450HX-16GB-DDR5-1TB-RTX4060-16--110251
Lenovo ThinkPad L14 Gen 5 (Intel) 21L10032YA,1507.1,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkPad-L14-Gen-5-Intel-21L10032YA--111802
"Lenovo Yoga Slim 7 Ultra 7/1TB SSD/16GB Soldered/14"" WQXGA/Bklit YU/Win11 Home/Seashell/IntelGraphic",1513.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-Yoga-Slim-7-Ultra-7-1TB-SSD-16GB-Soldered-14-WQXGA-Bklit-YU-Win11-Home-Seashell-IntelGraphic--112899
DELL G15 5515 15.6,1548.0,PC-Gamer,https://pc-gamer.me/p/DELL-G15-5515-15-6--71909
APPLE MBA 15.3: MIDNIGHT/M3 10C GPU/16GB/256GB-ZEE (mc9g,1590.4,PC-Gamer,https://pc-gamer.me/p/APPLE-MBA-15-3-MIDNIGHT-M3-10C-GPU-16GB-256GB-ZEE-mc9g--109564
Lenovo ThinkPad L16 Gen1 21L3002RYA,1628.9,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkPad-L16-Gen1-21L3002RYA--107820
Lenovo 83DH007BYA,1648.1,PC-Gamer,https://pc-gamer.me/p/Lenovo-83DH007BYA--113157
Asus Vivobook S 14 S5406SA-QD040X OLED,1679.0,PC-Gamer,https://pc-gamer.me/p/Asus-Vivobook-S-14-S5406SA-QD040X-OLED--112117
Acer Nitro AN515-46-R9TD,1692.0,PC-Gamer,https://pc-gamer.me/p/Acer-Nitro-AN515-46-R9TD--84147
Lenovo 83DG00HLYA,1725.1,PC-Gamer,https://pc-gamer.me/p/Lenovo-83DG00HLYA--107336
HP Omen 16-wf1001nn IntelCore i5 14500HX/16GB DDR5/512GB/RTX4060/16.1,1782.8,PC-Gamer,https://pc-gamer.me/p/HP-Omen-16-wf1001nn-IntelCore-i5-14500HX-16GB-DDR5-512GB-RTX4060-16-1--111501
Asus Zenbook A14 UX3407RA-QD026X,1789.0,PC-Gamer,https://pc-gamer.me/p/Asus-Zenbook-A14-UX3407RA-QD026X--112118
HP OMEN 16-wd0021nia Win11 Home i7-3620H/16GB/1TB/16,1821.3,PC-Gamer,https://pc-gamer.me/p/HP-OMEN-16-wd0021nia-Win11-Home-i7-3620H-16GB-1TB-16--111500
APPLE MBA 15.3 MIDNIGHT/M3/10C GPU/16GB/512GB-CRO (mxd43,1859.8,PC-Gamer,https://pc-gamer.me/p/APPLE-MBA-15-3-MIDNIGHT-M3-10C-GPU-16GB-512GB-CRO-mxd43--109565
Acer Predator Helios Neo 16 PHN16-72-93YZ,1949.0,PC-Gamer,https://pc-gamer.me/p/Acer-Predator-Helios-Neo-16-PHN16-72-93YZ--110883
"ASUS TUF Gaming A15 FA507UI-HQ029, 90NR0I65-M001A0",2019.0,PC-Gamer,https://pc-gamer.me/p/-ASUS-TUF-Gaming-A15-FA507UI-HQ029-90NR0I65-M001A0--111625
APPLE MacBook Air 13.6 M3 24GB 512GB SSD Space grey,2032.8,PC-Gamer,https://pc-gamer.me/p/APPLE-MacBook-Air-13-6-M3-24GB-512GB-SSD-Space-grey--110287
"Lenovo Yoga 9 2-in-1 14ILL10 Win11 Pro Ultra7 258V/1TB SSD/32GB/Copilot+ PC/Intel Arc/bcklt yu/14""",2052.2,PC-Gamer,https://pc-gamer.me/p/Lenovo-Yoga-9-2-in-1-14ILL10-Win11-Pro-Ultra7-258V-1TB-SSD-32GB-Copilot-PC-Intel-Arc-bcklt-yu-14---113163
DELL G16 7630 16 inch QHD+ 240Hz 300nits i7-13650HX 32G,2069.0,PC-Gamer,https://pc-gamer.me/p/DELL-G16-7630-16-inch-QHD-240Hz-300nits-i7-13650HX-32G--106426
ASUS Zenbook Duo UX8406CA-QL075W,2089.4,PC-Gamer,https://pc-gamer.me/p/ASUS-Zenbook-Duo-UX8406CA-QL075W--111480
Lenovo ThinkPad T14 Gen5 21ML0033YA,2097.1,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkPad-T14-Gen5-21ML0033YA--107815
ASUS Zenbook Pro OLED 15,2225.0,PC-Gamer,https://pc-gamer.me/p/ASUS-Zenbook-Pro-OLED-15---72493
HP Spectre x360 16,2881.7,PC-Gamer,https://pc-gamer.me/p/HP-Spectre-x360-16--99139
Apple MacBook Pro 16inča M4 Pro/14-Core CPU/20-Core GPU/48GB/512GB SSD/Silver,3739.0,PC-Gamer,https://pc-gamer.me/p/Apple-MacBook-Pro-16in-a-M4-Pro-14-Core-CPU-20-Core-GPU-48GB-512GB-SSD-Silver--110362
